plane,start_x_local,end_x_local,start_y_local,end_y_local,normal_grad,tangent_grad,angle_rad,angle_deg
1,-202.0,202.00000000000009,-0.0,-1.3926637620897964e-11,0.0,inf,0.0,0.0
2,-204.95651421981876,215.6223503923431,-180.03365545725373,-109.21226997555635,0.1683902626609769,-5.938585665213419,0.16682521956519647,9.558380997429044
3,-173.1668107406,245.5882402652,-362.1100600759999,-216.95342999320005,0.3466385175155519,-2.88484963288921,0.33367704713676294,19.118286521324347
4,-101.01799303689998,284.3480127338585,-531.9185510809998,-321.1049149083132,0.5470478273013337,-1.827993733076585,0.5005738424880231,28.680768509210168
5,-1.835194077971991,337.09410318830004,-687.4798974710001,-420.55266421300007,0.7875602239492882,-1.2697441663386888,0.6671095514959196,38.22256177358145
6,142.4018920059249,415.347806764096,-812.9912310120454,-502.0018163739539,1.1393810928206305,-0.8776694701194478,0.850456413542044,48.727563155791714
7,307.9496141528,507.6084417009001,-905.4784488820002,-570.1821468119999,1.6793462437278088,-0.5954698167426167,1.0337145019684468,59.22747818425983
8,471.91972403390014,601.5758003088099,-970.766213377,-627.7528143899165,2.645563623719356,-0.3779912873893072,1.209405740513688,69.29384465032832
9,640.6956724307001,704.3606228418001,-1002.746664067,-667.5185887379998,5.26550438136449,-0.1899153295815628,1.3831161018650642,79.24671521345462
10,812.7853387568,816.8546612432277,-1008.347126828,-686.7728731721488,79.02402788876647,-0.0126543790125149,1.5581426231800155,89.27499618765788
11,987.2057764283468,968.4287915958,-1002.1639381311628,-688.9662969509999,-16.679868678238858,0.0599525103758541,1.6306771625070358,93.43091916002183
12,1158.3324364517748,1119.147127883,-983.1476653849652,-679.7476686940001,-7.742697653087542,0.1291539518660181,1.6992392534944303,97.35923760819148
13,1330.7627413460002,1270.9856704,-950.413126222,-654.398495014,-4.951976176206507,0.2019395821823311,1.770056171979741,101.41674815552176
14,1498.8972989292963,1418.162701071,-909.8430369168464,-612.7369630829999,-3.6800341082434,0.2717366118319301,1.83612606758985,105.20227432685094
15,1824.4459983260003,1736.048683805338,-836.6702035970002,-511.1698827280316,-3.682242188396848,0.2715736632291896,1.8359743176070453,105.19357969329505
16,2150.146971223,2053.7823930383884,-763.9689439549998,-409.1312286948636,-3.682242188414401,0.2715736632278951,1.8359743176058396,105.19357969322597
17,2475.7182140060004,2371.6458323866364,-690.7899866089999,-307.57027236603267,-3.682242188370039,0.2715736632311669,1.8359743176088867,105.19357969340055
18,2801.4198226420003,2689.3801773582245,-618.0885543169996,-205.53144568279288,-3.682242188372477,0.2715736632309871,1.835974317608719,105.19357969339094
19,3305.491066916947,3171.5267468596194,-517.2790248015938,-50.70280212248566,-3.482839479045201,0.287122046828912,1.8503970162553849,106.01993945503393
20,3625.1662913218815,3495.014244903845,-381.7985355289108,25.40738864980645,-3.1286939805065237,0.3196221830036902,1.8801565115208896,107.72503293418691
21,3938.2128378255593,3814.010030061904,-280.6913167604389,128.36843498590974,-3.293482322273615,0.3036299886102507,1.8655800498998705,106.8898632030681
22,4108.357387734926,3989.9455815846864,-231.05669023988085,179.7167846184218,-3.4690246539869123,0.2882654635650141,1.8514530291560554,106.08044453735373
23,4175.769916441085,4099.496079577135,-214.7011612222259,205.93940034035813,-5.514873498666096,0.1813278219784867,1.7501751173292146,100.27764763177767
24,4245.892853041555,4201.322859650915,-205.03813611227287,220.13198942755156,-9.53938049335931,0.104828610274654,1.675243460652593,95.98437995228397
25,4297.9783037326615,4265.178672809456,-200.29146377320032,225.94824641611413,-12.995259342621033,0.0769511383832304,1.6475961143975462,94.40030369713297
26,4375.870000000018,4375.870000000147,-303.19500000000403,336.054999999996,inf,0.0,1.5707963267948966,90.0
